absoluteMagnitude,,,
acquisition,,,award
activity,,,"battle
competition
associatedAct
march"
advantage,,,
affiliatedOrganization,"subsidiary
affiliation",,militaryBranch
age,,,
altitude,,,
annualSalary,,,
aphelion,,,
apparentMagnitude,,,
appear,,,
appearance,,,
arranger,,"musicians
artist
editing",
artist,artist,creator,"coverArtist
illustrator
musicians
designer"
assertion,,,
atomicNumber,,,
attraction,,,
averageTemperature,,,
awarded,award,,
based,basedOn,,
basedEvent,basedOn,,
basedIn,basedOn,takePlace,
basedOn,basedOn,takePlace,
bestPlayer,,"award
keyPerson",
boilingPoint,,,
bornIn,"birthPlace
hometown
citizenship
countryOrigin
origin",,
bornOn,"birthDate
birthYear",,
broader,,,
brother,,family,
build,,,significantBuilding
buildedOn,,takePlace,
builder,"builder
engineer
architect
developer",creator,
buriedIn,deathPlace,,
candidate,,,
capacity,,,
capital,capital,city,
career,occupation,,
cartoonist,,"illustrator
artist
creator
designer",
causedBy,origin,,
chairCountry,chairPerson,"leaderName
leader",
character,,,
chemicalFormula,,,
civilization,,,
class,"class
rank
position
ranking
category","phylum
domain
kingdom","family
genus
militaryRank
order"
climate,,,
closedOn,dissolutionYear,endYear,
closingWork,,,"closingFilm
endingTheme"
color,colour,,
combatant,combatant,,
commander,commander,"keyPerson
leaderName
leader",
compose,,,
composer,composer,"musicians
artist
creator",executiveProducer
conservationState,,,
content,listItemOf,,
contractedIn,,takePlace,
contractedOn,,"activeYearsStartYear
serviceStartYear
takePlace",
createdIn,"countryOrigin
origin",takePlace,
createdOn,,"activeYearsStartYear
takePlace",
createdReason,origin,,
creation,,,"product
significantBuilding
significantDesign
significantProject
album"
creator,creator,,"creativeDirector
director
builder
coverArtist
designCompany
engineer
illustrator
musicians
architect
artist
author
composer
designer
developer
executiveProducer"
criminalMotive,,,
culturalAssets,,,
culturalTreasure,,,
daughter,,"family
child",
deathReason,deathCause,,
debutedOn,,"activeYearsStartYear
takePlace",
debutWork,,,
declination,,,
deficiencyDisease,,,
degree,,,
density,,,
designatedOn,,"activeYearsStartYear
takePlace",
designation,,,
diameter,,,
diedIn,deathPlace,,
diedOn,"deathDate
deathYear",endYear,
director,"director
board
chairPerson","artist
creator
leader","creativeDirector
provost
commander
executiveProducer"
disappearedOn,dissolutionYear,endYear,productionEndYear
disbandedOn,dissolutionYear,endYear,
discontinuedOn,dissolutionYear,endYear,productionEndYear
discoveredIn,,takePlace,bodyDiscovered
discoveredOn,,takePlace,bodyDiscovered
discoverer,,,
displayedIn,,takePlace,
distributor,distributor,,
dominate,,,
education,"almaMater
education",institution,
employer,,,
endedOn,endYear,,"deathDate
deathYear
dissolutionYear
productionEndYear"
evaluation,,,
eventCycle,,,
exiledIn,,takePlace,
extent,,,
family,family,"class
phylum
order
category
domain
kingdom","genus
languageFamily
mother
spouse
father
child"
famousSaying,,knownFor,
father,father,"family
parent",
feature,,,
flowedIn,"riverMouth
mouthPlace
inflow
mouthCountry
mouthRegion",,
food,,,
found,,,"significantBuilding
significantDesign
significantProject"
foundedOn,,"activeYearsStartYear
takePlace",
foundedReason,origin,,
founder,foundedBy,"keyPerson
creator","builder
engineer
architect
developer"
friend,"alliance
partner",,
gender,gender,,
genre,genre,"category
domain","musicFusionGenre
musicSubgenre
literaryGenre"
happenedIn,takePlace,,
happenedOn,takePlace,,
happenedReason,origin,,
harm,,,
have,listItemOf,,hasVariant
headedIn,"sourcePlace
outflow","source
origin","sourceCountry
sourceMountain
sourceRegion"
height,,,
highestPeak,,,
hoName,,,
host,,keyPerson,
hostOf,,,
husband,,"family
spouse
partner",
ideology,ideology,,
include,listItemOf,,
includedOf,listItemOf,,
industry,industry,"field
domain",
influence,influenced,,doctoralStudent
influencedBy,influencedBy,,doctoralAdvisor
ingredient,listItemOf,,
instrument,"instrument
equipment",,
jaName,,,
job,occupation,,
judge,,,
knownAs,,,
language,language,languageFamily,officialLanguage
latitude,,,
leader,"leaderName
leader",keyPerson,"president
vicePresident
chairPerson
chiefEditor
managingEditor
mayor
precursor
provost
commander
executiveProducer"
length,,,
livedIn,hometown,,
livedOn,,,
localNumber,,,
locatedIn,"place
position
region
locatedInArea
locationCountry
location",,
longtitude,,,
lord,"president
mayor
provost","leaderName
leader",
loser,,,
mainAirport,hubAirport,,
mainCelestialBody,,,
mainCharacter,"keyPerson
starring",,
mainEvent,,,isPartOfMilitaryConflict
mainIngredient,,listItemOf,
mainLocation,,"place
position
region
locatedInArea
locationCountry
location",headquarter
mainlyLocatedIn,,"place
position
region
locatedInArea
locationCountry
location",headquarter
mainPerson,"keyPerson
starring",,"president
vicePresident
leaderName
board
chairPerson
chiefEditor
managingEditor
mayor
precursor
provost
commander
executiveProducer
leader"
mainSpaceEntity,,,
mainStadium,homeStadium,"stadium
field
ground",
mainWork,,,"significantBuilding
significantDesign
significantProject"
majorProduct,,product,"significantBuilding
significantDesign
significantProject"
majorWork,,,"significantBuilding
significantDesign
significantProject"
manager,"board
chairPerson","leaderName
leader","managerClub
chiefEditor
managingEditor
executiveProducer"
marriedOn,,,
material,listItemOf,,
maximumTemperature,,,
mayor,"mayor
provost","keyPerson
president
leaderName
chairPerson
leader",
meaningOfName,,,
meltingPoint,,,
member,,,"pastMember
bandMember
currentMember"
memberOf,"club
currentTeam
team
managerClub
party
department
division",isPartOf,"nationalTeam
youthClub
formerTeam
philosophicalSchool"
minimumTemperature,,,
mostCaps,,,
mother,mother,"family
parent",
motherOrganization,"owningOrganization
parentCompany
mainOrgan",,
motto,,,
mouthedIn,"riverMouth
mouthPlace
inflow
mouthCountry
mouthRegion",,
murderedBy,,,
name,,,"competitionTitle
leaderName
binomial"
narrower,,,
nation,"dynasty
hometown
citizenship
countryOrigin
origin
country
kingdom","place
position
region
location","nationalTeam
locatedInArea
locationCountry"
nationality,"dynasty
hometown
citizenship
countryOrigin
origin
country
kingdom","place
position
region
location","nationalTeam
locatedInArea
locationCountry"
nationalTreasure,,,
nearLocation,,"place
position
region
locatedInArea
locationCountry
location",
nearNaturalEntity,,,
next,,,"heir
successor
nextMission"
nickname,,,
nieceHusband,,family,
